"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","2호선","용답","16","1","2051","298","2709","1040","5769","1287","11490","2405","6698","1851","4979","1945","4305","2325","4501","2715","4486","3057","3861","3505","3947","4537","4628","5309","4224","6171","3338","9498","2115","6629","1360","4787","1108","5200","887","4828","410","2902","91","864","0","0","0","0","0","0","20260303"
"202602","2호선","용두(동대문구청)","47","11","955","111","1614","806","4703","1867","7647","4399","4548","2501","3485","2675","3539","3078","3664","3021","3882","3654","4145","3711","4453","4020","4286","4024","3992","4365","4083","6812","1766","4625","1191","3118","926","2815","543","2042","209","1296","32","419","0","0","0","0","0","0","20260303"
"202602","2호선","을지로3가","13","0","956","1487","2408","21372","5343","64910","10746","140228","15233","56981","20930","27876","23943","26577","24388","25821","26943","28481","30460","26955","35616","27136","45039","30777","84627","36382","110843","40571","50416","27546","39698","17655","41693","14944","34617","12822","18796","7110","3262","1617","1","79","0","0","0","0","20260303"
"202602","2호선","을지로4가","8","1","862","910","2074","11207","5333","28778","9639","61629","12348","33345","16409","22273","19738","21980","19763","20634","20677","20108","23403","19405","26955","18189","31895","17159","50888","17171","56736","17454","25589","12909","16083","10161","13257","9992","8599","9079","4339","5355","902","1294","1","6","0","0","0","0","20260303"
"202602","2호선","을지로입구","94","1","2493","2591","4005","32213","9739","111063","15081","285172","23980","144014","32855","84786","43144","71739","47071","64931","57467","68552","68447","61352","82013","60151","100339","63317","160618","71452","236096","71332","129468","48061","122097","32769","83454","27089","64462","20046","26400","10620","3372","3917","0","672","0","0","0","0","20260303"
"202602","2호선","이대","7","0","2640","646","8091","6099","23782","10679","32039","32482","20792","30520","17488","23331","19676","20829","25353","23548","23482","25697","22887","23249","25647","23724","28698","24702","34876","30302","32254","37104","20213","30225","16367","20230","15441","18844","12715","17906","4965","12030","617","3536","0","6","1","1","0","0","20260303"
"202602","2호선","잠실(송파구청)","53","3","11573","4385","40826","27258","96436","66275","134735","143951","101302","147769","76301","117198","82033","113926","93172","113286","101417","119431","113674","117561","131234","129653","154416","142874","183447","169668","210616","207636","165614","140788","162797","94801","145595","77457","92647","69866","27966","38044","3852","7522","3","62","0","0","0","0","20260303"
"202602","2호선","잠실나루","7","0","2991","1811","10775","9504","30676","18702","40647","33033","26558","20850","22493","16997","22607","14986","21714","18731","20418","20030","21381","18332","24157","18621","27482","19925","32105","25715","26133","35409","13487","26360","9776","17250","6977","15999","4858","14795","2150","7664","289","2131","0","14","0","0","0","0","20260303"
"202602","2호선","잠실새내","14","1","4949","1062","14622","8261","47630","12944","65551","25489","45358","27156","32493","22975","31691","24995","33671","27618","33070","31703","31364","34877","33195","38358","34693","42627","36961","56259","38652","73942","29422","52110","24972","33454","22641","28793","21688","25243","10720","13551","1725","3914","0","39","0","0","0","0","20260303"
"202602","2호선","종합운동장","19","1","1403","1429","5254","14090","12646","10414","18295","17017","14064","13563","10706","10083","10850","8825","11227","12766","10982","13844","15229","13721","12989","16213","15848","17391","19756","21130","15102","27992","11883","17681","11858","10569","15289","9492","13109","8644","1925","4792","314","1366","2","63","0","0","0","0","20260303"
