"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202603","1호선","동대문","727","14","10804","1943","9387","6880","17052","12734","24249","22144","23953","23976","21377","26819","22029","30770","25298","30066","28190","29283","31393","28840","33076","27777","33668","26941","31903","26722","30135","27363","23056","26092","19783","18312","17164","17531","13338","16372","6634","10663","1148","3292","1","351","0","0","0","0","20260403"
"202603","1호선","동대문","727","14","10804","1943","9387","6880","17052","12734","24249","22144","23953","23976","21377","26819","22029","30770","25298","30066","28190","29283","31393","28840","33076","27777","33668","26941","31903","26722","30135","27363","23056","26092","19783","18312","17164","17531","13338","16372","6634","10663","1148","3292","1","351","0","0","0","0","20260403"
"202603","1호선","동묘앞","168","3","3038","1024","4442","5924","9248","11691","14853","24551","12899","18511","15224","26309","19399","35364","26682","38720","36332","42503","39391","37339","41258","31397","41311","23190","36418","16403","24511","14660","12677","10291","6848","7734","6054","7389","3918","7499","1466","5004","125","2222","2","268","0","0","0","0","20260403"
"202603","1호선","동묘앞","168","3","3038","1024","4442","5924","9248","11691","14853","24551","12899","18511","15224","26309","19399","35364","26682","38720","36332","42503","39391","37339","41258","31397","41311","23190","36418","16403","24511","14660","12677","10291","6848","7734","6054","7389","3918","7499","1466","5004","125","2222","2","268","0","0","0","0","20260403"
"202603","1호선","서울역","775","44","11465","11233","36857","65118","117965","135583","190600","267312","139774","181654","118034","114805","122583","108398","134531","118285","127062","114243","110600","107087","145038","126669","164861","140167","236651","173861","270184","209427","153103","141978","113009","102579","114758","95326","76050","68437","37448","34984","3735","8125","15","227","0","0","0","0","20260403"
"202603","1호선","서울역","775","44","11465","11233","36857","65118","117965","135583","190600","267312","139774","181654","118034","114805","122583","108398","134531","118285","127062","114243","110600","107087","145038","126669","164861","140167","236651","173861","270184","209427","153103","141978","113009","102579","114758","95326","76050","68437","37448","34984","3735","8125","15","227","0","0","0","0","20260403"
"202603","1호선","시청","163","1","1803","6051","3975","33718","8032","81910","11478","225902","14856","96095","17827","52004","22012","49241","25952","44912","32399","45700","43441","34725","55403","28474","69272","25973","105872","27689","171960","24889","68210","13238","60197","9780","50598","8443","33002","6054","10504","3526","703","878","0","22","0","0","0","0","20260403"
"202603","1호선","시청","163","1","1803","6051","3975","33718","8032","81910","11478","225902","14856","96095","17827","52004","22012","49241","25952","44912","32399","45700","43441","34725","55403","28474","69272","25973","105872","27689","171960","24889","68210","13238","60197","9780","50598","8443","33002","6054","10504","3526","703","878","0","22","0","0","0","0","20260403"
"202603","1호선","신설동","462","16","8676","2156","10811","9410","24447","26979","36557","55567","24377","34153","21950","22738","23370","21052","25000","21190","26639","22459","26081","20764","28123","23052","32362","24997","45561","28910","53975","35341","23264","25794","16177","18975","14463","17941","9974","15326","4178","9769","591","2668","0","2","0","0","0","0","20260403"
"202603","1호선","신설동","462","16","8676","2156","10811","9410","24447","26979","36557","55567","24377","34153","21950","22738","23370","21052","25000","21190","26639","22459","26081","20764","28123","23052","32362","24997","45561","28910","53975","35341","23264","25794","16177","18975","14463","17941","9974","15326","4178","9769","591","2668","0","2","0","0","0","0","20260403"
